Time,Reporter,Type,Content,Screenshot,RTF Note
27.03.2022 11:27:23,Migasia,(Rapid Reporter version),"1.22.02.28",,
27.03.2022 11:27:23,Migasia,Session Reporter,"Migasia",,
27.03.2022 11:27:23,Migasia,Session Charter,"Test logowania",,
27.03.2022 11:27:40,Migasia,Setup,"uruchamiam MrBuggy 3",,
27.03.2022 11:27:56,Migasia,Note,"notatka 1",,
27.03.2022 11:28:02,Migasia,Note,"notatka 2",,
27.03.2022 11:28:09,Migasia,Test,"logowanie",,
27.03.2022 11:30:45,Migasia,autogenerated,"screenshot saved",1_20220327_113045.jpg,
27.03.2022 11:31:07,Migasia,autogenerated,"screenshot saved",2_20220327_113107.jpg,
27.03.2022 11:31:21,Migasia,autogenerated,"screenshot saved",3_20220327_113121.jpg,
27.03.2022 11:33:22,Migasia,Session End. Duration,"00:05:59",,
